link,hashtag,imgSrc,date,title,description
237200,"['生物多樣性','氣候變遷','污染治理','能源轉型', '高溫', '熱浪']",https://e-info.org.tw/sites/all/themes/quatro/images/news-default.jpeg,2023/7/18,桃園台灣獼猴被捕後身亡、巴西總統承諾2030亞馬遜森林零砍伐、WMO警告熱浪加劇可能增加死亡風險,桃園市龍潭區18日上午有台灣獼猴出沒，市府農業局獲報後捕捉、施以1cc鎮靜劑，獼猴卻死亡；農業局說，過程皆依一般類野生動物處置流程，將把獼猴遺體送往相關單位檢驗釐清死因。（中央社報導）
237202,"['循環經濟', '零廢棄', ]",https://live.staticflickr.com/65535/53058629828_3e91dfb906_b.jpg,2023/7/20,今夏快閃倫敦 英國首家「零廢棄」劇場如何建成？,一塊塊顏色不均的木棧板慢慢豎起，組合成穀倉般的簡陋小屋，豎立在倫敦金絲雀碼頭熙來攘往的草地上。
237203,"['污染治理能源轉型', '福島核災', '核廢']",https://live.staticflickr.com/65535/53056185529_1c1885267e_b.jpg,2023/7/19,歸返福島：當時間停止在那一刻 福島災後重建的居民生活,
237204,"['污染治理能源轉型', '福島核災', '核廢']",https://live.staticflickr.com/65535/53056037411_c65c5945af_o.jpg,2023/7/19,核電是未來光明的能源？ 日本重啟核電的難題,
237210,"['生物多樣性', '離岸風力發電', '珍稀植物']",https://live.staticflickr.com/65535/53056736450_f9d9729594_b.jpg,2023/7/19,京威「苗栗離岸風電」初審過關 陸纜行經石虎熱區應補充保育對策,環保署今（19）日審查京威能源規劃的「苗栗離岸風力發電」計畫，專案小組最終建議修正後通過，送交環評大會審查。由於開發單位在後龍段陸纜調查到石虎出沒，專案小組要求加強生態保育；並於海纜施工時設置防濁幕以保護海域水質。
237211,"['土地利用','能源轉型',  '再生能源', '生態保育']",https://live.staticflickr.com/65535/53056969338_2c554a9c0a_b.jpg,2023/7/19,苗栗小光電八成位於石虎熱點 環團走訪三縣市提建言,再生能源爭議層出不窮，地球公民基金會展開地面型光電發展田野調查，實地走訪苗栗、台南、花蓮發現，光電開發各有難處，苗栗甚至有八成小光電案場位於石虎重要棲地。基金會今（19日）發布調查報告指出，三縣市皆欠缺環境整體的系統性評估，建議中央應有一致性原則，再由地方因地制宜。
237212,"['海洋氣候變遷', '海平面上升', '全球暖化', '氣候變遷調適']",https://live.staticflickr.com/65535/53056759224_f8eb2c6d04_b.jpg,2023/7/19,島國共抗氣候變遷 台灣與太平洋友邦簽聯合聲明,全球暖化造成海平面上升，海島國家面臨「滅頂危機」，我國今日與馬紹爾群島、諾魯、帛琉、以及吐瓦魯等友邦簽署「對抗氣候變遷聯合聲明」，共同推動能源轉型、強化糧食安全、保護自然棲地與管理海洋保護區等行動。
237214,['污染治理'],https://live.staticflickr.com/65535/53057499265_b48c60efc0_b.jpg,2023/7/20,15年中油三輕監督委員會任務結束 環評大會同意停開,環保署19日召開第446次環評大會，環保署環境督察總隊提出停開「三輕監督委員會」臨時提案，獲決議通過。三輕監督委員會自2009年監督中油三輕環評承諾是否落實，運作15年後，環保署認為任務完成，未來將不再召開委員會，但每年仍會辦理監督會議，並在網路公告三輕環評承諾事項有無達成。
237215,"['海洋', '離岸風電',]",https://live.staticflickr.com/65535/53057180461_cc2aa692ed_b.jpg,2023/7/20,能源局風場共同廊道劃設惹議 民間轟：觀音毀白玉藻礁、竹南穿定置漁場,昨（19）日數名環團代表、議員，以及竹南漁民北上出席環評，質疑能源局離岸風場共同廊道破壞生態。環保署昨審查哥本哈根基礎建設基金（CIP）規劃的渢汎、渢成、渢利三風場，海纜分別走桃園觀音、苗栗竹南共同廊道上岸。民間指出，觀音廊道恐怕破壞白玉藻礁，竹南廊道更將穿越四座定置漁場，影響漁民生計。專案小組最後決議本案補件再審，並要求能源局檢討廊道規劃。
237216,"['生物多樣性', '熱浪', '高溫紀錄', '野火']",https://e-info.org.tw/sites/all/themes/quatro/images/news-default.jpeg,2023/7/20,北市動物園馬來貘「貘克」過世、加拿大卑詩省野火燒毀面積創新高、印度洪災罕見淹至泰姬瑪哈陵,台北市立動物園熱帶雨林區的馬來貘「貘克」19日過世，動物園發言人曹先紹說明，「貘克」的死亡原因不能排除各種狀況，如熱衰竭、免疫系統失調、傳染等。園方也針對與「貘克」長期在一起的「貘莉」進行檢查，目前狀況正常。20日將進行「貘克」遺體解剖，待解剖死因出爐。（自由時報報導）
